,lat,long,Date,Timestamp
755,72.9000899,19.0774884,2018-02-19,15:38:08.774Z
756,72.9000899,19.0774884,2018-02-19,15:38:08.774Z
760,72.9000899,19.0774884,2018-02-20,01:46:11.279Z
761,72.9000899,19.0774884,2018-02-20,01:46:11.279Z
762,72.9000899,19.0774884,2018-02-20,01:46:11.279Z
766,72.871043,19.046146,2018-02-20,05:15:17.466Z
767,72.871043,19.046146,2018-02-20,05:15:17.466Z
768,72.871043,19.046146,2018-02-20,05:15:17.466Z
772,72.8729633,19.0479898,2018-02-20,07:12:51.503Z
773,72.8729633,19.0479898,2018-02-20,07:12:51.503Z
774,72.8729633,19.0479898,2018-02-20,07:12:51.503Z
778,72.871043,19.046146,2018-02-20,09:30:01.050Z
779,72.871043,19.046146,2018-02-20,09:30:01.050Z
780,72.871043,19.046146,2018-02-20,09:30:01.050Z
784,72.871043,19.046146,2018-02-20,12:47:32.614Z
785,72.871043,19.046146,2018-02-20,12:47:32.614Z
786,72.871043,19.046146,2018-02-20,12:47:32.614Z
790,72.8762862,19.0493833,2018-02-20,13:53:20.494Z
791,72.8762862,19.0493833,2018-02-20,13:53:20.494Z
792,72.8762862,19.0493833,2018-02-20,13:53:20.494Z
796,72.89326919999999,19.0668036,2018-02-20,14:29:31.561Z
797,72.89326919999999,19.0668036,2018-02-20,14:29:31.561Z
798,72.89326919999999,19.0668036,2018-02-20,14:29:31.561Z
802,72.9000899,19.0774884,2018-02-20,15:16:29.442Z
803,72.9000899,19.0774884,2018-02-20,15:16:29.442Z
804,72.9000899,19.0774884,2018-02-20,15:16:29.442Z
808,72.8998221,19.0730847,2018-02-20,15:56:58.861Z
809,72.8998221,19.0730847,2018-02-20,15:56:58.861Z
810,72.8998221,19.0730847,2018-02-20,15:56:58.861Z
814,72.9000899,19.0774884,2018-02-20,17:12:09.263Z
815,72.9000899,19.0774884,2018-02-20,17:12:09.263Z
816,72.9000899,19.0774884,2018-02-20,17:12:09.263Z
821,72.9000899,19.0774884,2018-02-20,17:12:09.263Z
822,72.9000899,19.0774884,2018-02-20,17:12:09.263Z
823,72.9000899,19.0774884,2018-02-20,17:12:09.263Z
830,72.8748609,19.047134,2018-02-21,05:52:01.366Z
831,72.8748609,19.047134,2018-02-21,05:52:01.366Z
832,72.8748609,19.047134,2018-02-21,05:52:01.366Z
836,72.8729633,19.0479898,2018-02-21,10:22:11.518Z
837,72.8729633,19.0479898,2018-02-21,10:22:11.518Z
838,72.8729633,19.0479898,2018-02-21,10:22:11.518Z
842,72.871043,19.046146,2018-02-21,11:09:38.949Z
843,72.871043,19.046146,2018-02-21,11:09:38.949Z
844,72.871043,19.046146,2018-02-21,11:09:38.949Z
851,72.9129845,19.0867654,2018-02-21,14:59:48.531Z
852,72.9129845,19.0867654,2018-02-21,14:59:48.531Z
853,72.9129845,19.0867654,2018-02-21,14:59:48.531Z
857,72.8998221,19.0730847,2018-02-21,16:01:56.941Z
858,72.8998221,19.0730847,2018-02-21,16:01:56.941Z
859,72.8998221,19.0730847,2018-02-21,16:01:56.941Z
863,72.9000899,19.0774884,2018-02-21,17:16:36.916Z
864,72.9000899,19.0774884,2018-02-21,17:16:36.916Z
865,72.9000899,19.0774884,2018-02-21,17:16:36.916Z
870,72.9000899,19.0774884,2018-02-21,17:16:36.916Z
871,72.9000899,19.0774884,2018-02-21,17:16:36.916Z
872,72.9000899,19.0774884,2018-02-21,17:16:36.916Z
876,72.871043,19.046146,2018-02-22,03:47:40.349Z
877,72.871043,19.046146,2018-02-22,03:47:40.349Z
878,72.871043,19.046146,2018-02-22,03:47:40.349Z
885,72.871043,19.046146,2018-02-22,12:44:10.709Z
886,72.871043,19.046146,2018-02-22,12:44:10.709Z
887,72.871043,19.046146,2018-02-22,12:44:10.709Z
891,72.871043,19.046146,2018-02-22,13:13:24.492Z
892,72.871043,19.046146,2018-02-22,13:13:24.492Z
893,72.871043,19.046146,2018-02-22,13:13:24.492Z
897,72.86484229999999,19.0441298,2018-02-22,13:46:12.790Z
898,72.86484229999999,19.0441298,2018-02-22,13:46:12.790Z
899,72.86484229999999,19.0441298,2018-02-22,13:46:12.790Z
903,72.9000899,19.0774884,2018-02-22,15:10:35.918Z
904,72.9000899,19.0774884,2018-02-22,15:10:35.918Z
905,72.9000899,19.0774884,2018-02-22,15:10:35.918Z
909,72.8998221,19.0730847,2018-02-22,15:47:06.275Z
910,72.8998221,19.0730847,2018-02-22,15:47:06.275Z
911,72.8998221,19.0730847,2018-02-22,15:47:06.275Z
915,72.9000899,19.0774884,2018-02-22,17:11:50.352Z
916,72.9000899,19.0774884,2018-02-22,17:11:50.352Z
917,72.9000899,19.0774884,2018-02-22,17:11:50.352Z
